BoroCD *,Shape *,FID_STP_NTA_HVI_PGI_REFERENCE,OBJECTID,BoroName,BoroCT2010,PUMA,NTAName,NTACode,Shape_Leng,Borough,ONENYC_HVI,QUINTILES,PGI,PGI_Percent,PGI_High_Low,FID_STP_Neighborhood_Planting_Cycle,BoroCode,BoroName,CommunityBoardWater,CouncilDistrictWater,Zone ID,SUM_Planting_Potential_Cut,Year,Zone_Before,Zone_After,Contract_Area_Percentage,Year_Group,Borough_Year_Group,Phase,Unique,Full_Year,Shape_Length,Shape_Area,Ratio
3382,Polygon,2170,2030,Manhattan,1016200,3804,East Harlem South,MN33,10008.85722,1,0.525952,3,0.071968,7.2,High,46,1,Manhattan,108,5,2,110,9,12520186.52,<Null>,<Null>,9-Jul,"Manhattan, Year 7-9",Phase 3,MN08052_2035_3,2035,162.258509,1202.192606,7.409119025
3235,Polygon,2081,1946,Brooklyn,3150200,4012,Windsor Terrace,BK40,11078.58934,3,-2.201017,1,0.071872,7.19,High,200,3,Brooklyn,307,38,3,194,6,30256683.97,<Null>,<Null>,6-Apr,"Brooklyn, Year 4-6",Phase 2,BK07383_2032_2,2032,174.535375,1263.834024,7.241133919
1882,Polygon,1213,1134,Queens,4053100,4110,Maspeth,QN30,8748.36172,4,0.425179,3,0.057629,5.76,Low,295,4,Queens,402,26,3,494,4,75014612.15,<Null>,<Null>,6-Apr,"Queens, Year 4-6",Phase 2,QN02263_2030_2,2030,364.355042,2438.997378,6.694012973
3464,Polygon,2215,2074,Bronx,2009600,3709,Westchester-Unionport,BX59,13862.70296,2,3.100704,5,0.091985,9.2,High,108,2,Bronx,209,18,4,162,2,9145413.613,<Null>,<Null>,3-Jan,"Bronx, Year 1-3",Phase 1,BX09184_2028_1,2028,265.18929,2685.324731,10.1260678
2192,Polygon,1444,1360,Bronx,2028100,3701,Van Cortlandt Village,BX28,5695.343687,2,-4.162694,1,0.063395,6.34,High,90,2,Bronx,207,11,2,153,5,12130426.45,<Null>,<Null>,6-Apr,"Bronx, Year 4-6",Phase 2,BX07112_2031_2,2031,474.284616,2990.844266,6.306011549
3430,Polygon,2194,2054,Brooklyn,3000700,4004,Brooklyn Heights-Cobble Hill,BK09,6185.057334,3,-2.905714,1,0.047199,4.72,Low,196,3,Brooklyn,306,38,3,212,1,32793970.14,<Null>,<Null>,3-Jan,"Brooklyn, Year 1-3",Phase 1,BK06383_2027_1,2027,471.92858,4097.703348,8.682888729
990,Polygon,490,454,Brooklyn,3051601,4015,Flatbush,BK42,4556.009525,3,2.271888,5,0.072634,7.26,High,265,3,Brooklyn,317,45,4,203,5,20423168.13,<Null>,<Null>,6-Apr,"Brooklyn, Year 4-6",Phase 2,BK17454_2031_2,2031,339.48764,4210.815726,12.40344339
731,Polygon,280,244,Brooklyn,3020600,4013,Dyker Heights,BK30,5911.79531,3,-1.460211,2,0.058785,5.88,Low,212,3,Brooklyn,310,47,5,206,5,12734487.85,<Null>,<Null>,6-Apr,"Brooklyn, Year 4-6",Phase 2,BK10475_2031_2,2031,619.47084,4482.139112,7.235431957
2524,Polygon,1649,1555,Queens,4055900,4110,Ridgewood,QN20,5593.698282,4,2.952951,5,0.057629,5.76,Low,181,3,Brooklyn,304,37,3,145,9,19432634.35,<Null>,<Null>,9-Jul,"Brooklyn, Year 7-9",Phase 3,BK04373_2035_3,2035,506.666361,4771.939673,9.418307668
1747,Polygon,1114,1035,Queens,4028800,4112,Baisley Park,QN76,12947.85955,4,-0.83884,2,0.053471,5.35,Low,363,4,Queens,412,28,1,559,1,13535594.7,<Null>,<Null>,3-Jan,"Queens, Year 1-3",Phase 1,QN12281_2027_1,2027,681.152221,4804.188541,7.05303219
2528,Polygon,1651,1557,Queens,4056100,4110,park-cemetery-etc-Queens,QN99,32916.47267,3,-8.804305,1,0.057629,5.76,Low,189,3,Brooklyn,305,37,8,209,5,16750531.67,<Null>,<Null>,6-Apr,"Brooklyn, Year 4-6",Phase 2,BK05378_2031_2,2031,684.251597,4811.72553,7.032099817
2346,Polygon,1542,1454,Brooklyn,3007200,4012,Sunset Park West,BK32,3455.521822,3,2.337503,5,0.071872,7.19,High,214,3,Brooklyn,310,47,7,196,8,12591915.32,<Null>,<Null>,9-Jul,"Brooklyn, Year 7-9",Phase 3,BK10477_2034_3,2034,726.473975,4836.677722,6.657743964
1094,Polygon,579,543,Brooklyn,3073600,4009,Flatlands,BK58,5936.261853,3,0.830329,4,0.044999,4.5,Low,275,3,Brooklyn,318,45,6,196,7,5631796.136,<Null>,<Null>,9-Jul,"Brooklyn, Year 7-9",Phase 3,BK18456_2033_3,2033,690.131911,4874.644647,7.063352048
3641,Polygon,2302,2154,Bronx,2013200,3703,Schuylerville-Throgs Neck-Edgewater Park,BX52,18624.30275,2,-0.263319,3,0.052378,5.24,Low,115,2,Bronx,210,13,1,182,5,29598687.49,<Null>,<Null>,6-Apr,"Bronx, Year 4-6",Phase 2,BX10131_2031_2,2031,541.114503,5036.180514,9.307051439
3551,Polygon,2255,2114,Brooklyn,3114201,4008,Cypress Hills-City Line,BK83,10548.1649,3,0.214544,3,0.114084,11.41,High,181,3,Brooklyn,304,37,3,145,9,19432634.35,<Null>,<Null>,9-Jul,"Brooklyn, Year 7-9",Phase 3,BK04373_2035_3,2035,449.281763,5194.572534,11.56194834
435,Polygon,47,41,Manhattan,1004900,3810,SoHo-TriBeCa-Civic Center-Little Italy,MN24,6657.796846,1,-0.374905,3,0.042571,4.26,Low,18,1,Manhattan,102,3,5,151,5,14888495.83,<Null>,<Null>,6-Apr,"Manhattan, Year 4-6",Phase 2,MN02035_2031_2,2031,586.625541,5412.30804,9.226171828
2902,Polygon,1899,1778,Staten Island,5013800,3901,Oakwood-Oakwood Beach,SI25,16994.71591,5,-3.642704,1,<Null>,<Null>,<Null>,411,5,Staten Island,502,50,4,1258,1,59978123.77,<Null>,<Null>,3-Jan,"Staten Island, Year 1-3",Phase 1,ST02504_2027_1,2027,393.524305,5502.534019,13.98270437
2783,Polygon,1813,1704,Brooklyn,3078000,4010,East Flatbush-Farragut,BK91,5470.955708,3,3.075786,5,0.058754,5.88,Low,276,3,Brooklyn,318,45,7,221,7,9395831.987,<Null>,<Null>,9-Jul,"Brooklyn, Year 7-9",Phase 3,BK18457_2033_3,2033,410.515248,5837.962496,14.22106127
