BoroCode,BoroName,Community Board,Council District,Zone ID,Planting Potential,Unique,Year,HVI,HVI 4/5 Count,CT Count,Transition Contract,Transition Overlap %,New Year Assignment
1,Manhattan,101,1,1,146,101_1,1,1.3,0,1,MG-124M,100,8
1,Manhattan,101,1,2,141,101_2,1,2.7,0,2,0,0,2
1,Manhattan,101,1,3,172,101_3,4,1,0,1,0,0,2
1,Manhattan,101,1,4,154,101_4,4,1.3,0,8,MG-124M,43,5
1,Manhattan,101,1,5,249,101_5,7,3,0,1,MG-124M,100,8
1,Manhattan,101,1,6,128,101_6,7,2,0,1,0,0,5
1,Manhattan,101,1,7,97,101_7,7,2.7,0,1,0,0,5
1,Manhattan,102,2,1,131,102_1,1,1.5,0,2,0,0,8
1,Manhattan,102,2,2,151,102_2,1,2.6,0,5,0,0,2
1,Manhattan,102,1,3,160,102_3,4,3.3,1,4,0,0,5
1,Manhattan,102,3,4,141,102_4,4,2,0,3,MG-224M,35,5
1,Manhattan,102,3,5,151,102_5,7,2.1,0,6,MG-224M,31,5
1,Manhattan,103,2,1,136,103_1,1,2,0,7,MG-1219MA,100,8
1,Manhattan,103,2,2,145,103_2,1,2.4,0,5,MG-1219MA,100,5
1,Manhattan,103,1,3,143,103_3,4,3,0,3,MG-1219MA,100,2
1,Manhattan,103,1,4,134,103_4,4,2.7,1,6,MG-1219MA,100,2
1,Manhattan,103,1,5,138,103_5,7,2.5,0,4,MG-1219MA,100,5
1,Manhattan,103,1,6,151,103_6,7,1.6,0,5,MG-1219MA,100,7
1,Manhattan,104,3,1,133,104_1,1,2.3,0,8,MG-224M,68,6
1,Manhattan,104,3,2,130,104_2,4,3,0,3,MG-224M,100,9
1,Manhattan,104,3,3,130,104_3,7,2.8,1,5,MG-224M,78,9
1,Manhattan,104,3,4,115,104_4,7,3.5,1,2,MG-224M,50,3
1,Manhattan,104,3,5,135,104_5,8,3,1,4,0,0,3
1,Manhattan,105,4,1,140,105_1,2,2,0,2,0,0,1
1,Manhattan,105,4,10,112,105_10,8,2.8,1,4,0,0,4
1,Manhattan,105,3,11,118,105_11,8,3,0,1,0,0,7
1,Manhattan,105,3,12,135,105_12,8,3.3,1,3,MG-224M,34,7
1,Manhattan,105,6,2,156,105_2,2,1.3,0,2,0,0,1
1,Manhattan,105,4,3,166,105_3,2,2.7,0,2,0,0,1
1,Manhattan,105,4,4,165,105_4,2,2.7,0,3,0,0,1
1,Manhattan,105,3,5,149,105_5,5,2.7,0,3,0,0,4
1,Manhattan,105,2,6,152,105_6,5,2.3,0,3,0,0,4
1,Manhattan,105,4,7,143,105_7,5,2,0,2,0,0,4
1,Manhattan,105,4,8,203,105_8,8,3,1,2,MG-224M,100,7
1,Manhattan,105,4,9,152,105_9,8,1.5,0,2,MG-224M,50,7
1,Manhattan,106,2,1,127,106_1,2,2.2,0,5,MG-1219MA,14,1
1,Manhattan,106,4,2,131,106_2,5,1.4,0,8,0,0,1
1,Manhattan,106,4,3,137,106_3,5,1.7,0,5,0,0,4
1,Manhattan,106,4,4,103,106_4,8,2.3,0,4,0,0,4
1,Manhattan,106,4,5,99,106_5,8,2.3,1,4,0,0,7
1,Manhattan,107,7,1,140,107_1,2,1.6,0,5,0,0,1
1,Manhattan,107,6,2,137,107_2,5,1.4,0,8,0,0,4
1,Manhattan,107,6,3,150,107_3,5,1.5,0,7,0,0,7
1,Manhattan,107,6,4,145,107_4,9,1.7,0,7,0,0,2
1,Manhattan,108,5,1,135,108_1,2,2.1,0,11,MG-124M,100,3
1,Manhattan,108,5,2,110,108_2,5,1.8,0,11,MG-124M,100,9
1,Manhattan,108,5,3,144,108_3,6,2,0,4,MG-124M,100,6
1,Manhattan,108,5,4,107,108_4,9,1.5,0,6,MG-124M,100,9
1,Manhattan,108,4,5,97,108_5,9,2,0,3,MG-124M,100,6
1,Manhattan,109,7,1,134,109_1,3,2.7,3,9,MG-1319MA,100,5
1,Manhattan,109,7,2,136,109_2,3,4,4,7,MG-1319MA,100,2
1,Manhattan,109,7,3,130,109_3,6,2.6,1,4,MG-1319MA,85,8
1,Manhattan,109,7,4,121,109_4,9,1.3,0,3,0,0,8
1,Manhattan,110,9,1,142,110_1,3,4.3,11,11,MG-1319MA,100,8
1,Manhattan,110,9,2,147,110_2,3,3.9,9,10,MG-1319MA,93,5
1,Manhattan,110,9,3,141,110_3,6,3.8,7,7,MG-1319MA,63,2
1,Manhattan,111,8,1,139,111_1,3,4.5,4,4,MG-124M,100,3
1,Manhattan,111,8,2,138,111_2,3,3,2,5,MG-124M,100,9
1,Manhattan,111,8,3,140,111_3,6,3.5,2,4,MG-124M,100,6
1,Manhattan,111,8,4,146,111_4,6,4.8,5,6,MG-124M,100,3
1,Manhattan,111,9,5,147,111_5,6,4.3,5,6,"MG-124M, MG-1319MA",99,6
1,Manhattan,112,10,1,137,112_1,3,1.8,0,5,MG-224M,100,9
1,Manhattan,112,10,2,129,112_2,3,1.8,1,4,MG-224M,100,9
1,Manhattan,112,10,3,138,112_3,6,1.8,1,4,MG-224M,59,3
1,Manhattan,112,7,4,144,112_4,6,2.5,1,3,MG-1319MA,27,3
1,Manhattan,112,10,5,130,112_5,9,4.5,4,4,MG-224M,100,3
1,Manhattan,112,10,6,142,112_6,9,2.8,4,8,"MG-224M, MG-1319MA",100,6
